crosswalk_id,lon,lat
06-0000036765,126.79719604400587,37.57783243494317
06-0000036763,126.79756831779017,37.57834515483378
06-0000036761,126.79762591116008,37.578203270897404
06-0000036762,126.7976627560599,37.57811453989531
06-0000038099,126.79767493876557,37.58159799481725
06-0000036764,126.79769689999546,37.57802041530272
06-0000014300,126.79841200943599,37.58209514724442
06-0000036756,126.79854151709793,37.578583233345434
06-0000036755,126.79856646640422,37.57878088330082
06-0000036757,126.79875505465584,37.578481269238274
06-0000036758,126.7988817500498,37.57813464948337
06-0000036760,126.79906154606556,37.57789008721633
06-0000036759,126.79909145949884,37.57800554030315
06-0000036754,126.79937727460528,37.57896470156011
06-0000038101,126.79938888562391,37.579881871541524
06-0000037117,126.79945697405596,37.579197683150326
06-0000033531,126.7995607873324,37.579233849931775
06-0000038344,126.79957566691687,37.57946040023043
06-0000037116,126.79957892295984,37.57945922849701
06-0000038111,126.7999083993458,37.579150557158435
06-0000046662,126.7999461456142,37.57829049011189
06-0000038098,126.79997448137944,37.57831656717353
06-0000038119,126.80054971827637,37.57819392026176
06-0000038120,126.8008984396519,37.57768532736355
06-0000019177,126.80129111800484,37.54943646671155
06-0000041576,126.80131394318457,37.576166827332365
06-0000038121,126.80151672049361,37.5767704767284
06-0000038122,126.80160376616459,37.57664550270645
06-0000038163,126.80196211600972,37.589680898471094
06-0000027999,126.8020011811438,37.57528983074618
06-0000028000,126.80237017642477,37.574745112924965
06-0000013632,126.80247000606288,37.57498087798993
06-0000028002,126.80268747037293,37.57499932888826
06-0000037791,126.80270245220699,37.57500579084177
06-0000000054,126.80283058304852,37.571657720453636
06-0000028001,126.80289769169464,37.57467843563956
06-0000014437,126.80311067027316,37.566536522387906
06-0000014299,126.80318713058226,37.572970863165054
06-0000002245,126.80329264673493,37.55933434896082
06-0000000930,126.80326940435651,37.57235419986325
06-0000013039,126.80328920358343,37.572609747073216
06-0000000036,126.80347638276388,37.55946309336041
06-0000013038,126.80349528429888,37.57278624432502
06-0000037794,126.8036068442046,37.57249190953088
06-0000037040,126.80362291733677,37.572461470286605
