crosswalk_id,cafe,distance,cafe_area
06-0000014253,스타벅스 김포공항DT점,877.2174547387689,450.87
06-0000045683,스타벅스 방화DT,877.6973493213118,373.97
06-0000045825,스타벅스 마곡역점,879.7153642233553,224.36
06-0000039272,스타벅스 마곡GMG점,880.41140437815,217.35
06-0000047920,스타벅스 마곡GMG점,881.529181963799,217.35
06-0000019873,스타벅스 마곡GMG점,881.714824035787,217.35
06-0000027786,스타벅스 마곡GMG점,882.5452586208185,217.35
06-0000039303,스타벅스 마곡GMG점,883.9363906289555,217.35
06-0000024490,스타벅스 마곡GMG점,886.3667721381256,217.35
06-0000045829,스타벅스 마곡역점,887.3709579698681,224.36
06-0000045828,스타벅스 마곡역점,888.1221930225674,224.36
06-0000028784,스타벅스 우장산역점,889.1476819996902,244.4
06-0000045682,스타벅스 방화DT,889.291572896522,373.97
06-0000019874,스타벅스 마곡GMG점,893.2659355300586,217.35
06-0000027785,스타벅스 마곡GMG점,894.5452199866207,217.35
06-0000019351,스타벅스커피 염창역점,896.7540369846192,221.3
06-0000045678,스타벅스 마곡역점,896.9418008693547,224.36
06-0000038119,스타벅스 김포공항DT점,897.7618792435662,450.87
06-0000012115,스타벅스커피 까치산역점,898.5901911522478,323.49
06-0000040053,스타벅스커피 염창역점,898.8804159180996,221.3
06-0000045680,스타벅스 방화DT,900.455707736569,373.97
06-0000045668,스타벅스 마곡역점,907.1730697084361,224.36
06-0000019869,스타벅스 마곡GMG점,907.3452047888717,217.35
06-0000036760,스타벅스 김포공항DT점,907.7000084194383,450.87
06-0000045681,스타벅스 방화DT,908.232393052631,373.97
06-0000050674,스타벅스 방화DT,911.3320462717214,373.97
06-0000052719,스타벅스 방화DT,911.9344803810419,373.97
06-0000052718,스타벅스 방화DT,913.0232448296335,373.97
06-0000013104,스타벅스 마곡GMG점,913.8389311492346,217.35
06-0000052717,스타벅스 방화DT,913.9363785394282,373.97
06-0000036759,스타벅스 김포공항DT점,918.5259607242087,450.87
06-0000013049,스타벅스 방화DT,920.9371183489427,373.97
06-0000027788,스타벅스 마곡GMG점,922.2735142900689,217.35
06-0000046662,스타벅스 김포공항DT점,922.6445517930514,450.87
06-0000013098,스타벅스 마곡GMG점,923.8551128749135,217.35
06-0000045830,스타벅스 마곡역점,923.9440552041976,224.36
06-0000045826,스타벅스 마곡역점,924.5151560435195,224.36
06-0000038098,스타벅스 김포공항DT점,924.6711419713849,450.87
06-0000045679,스타벅스 방화DT,925.5313848161891,373.97
06-0000024504,스타벅스 마곡GMG점,928.0077379572364,217.35
06-0000013167,스타벅스 마곡GMG점,928.6953578587166,217.35
06-0000013099,스타벅스 마곡GMG점,929.1205013963685,217.35
06-0000045669,스타벅스 방화DT,929.3563374910999,373.97
06-0000013341,스타벅스 김포공항DT점,929.437217904221,450.87
06-0000038069,스타벅스 김포공항DT점,929.8023429073417,450.87
06-0000038074,스타벅스 김포공항DT점,929.9618341986695,450.87
06-0000013090,스타벅스 마곡역점,930.4182545265642,224.36
06-0000013100,스타벅스 마곡GMG점,935.8573408643854,217.35
06-0000036758,스타벅스 김포공항DT점,938.9270923356207,450.87
06-0000012116,스타벅스커피 까치산역점,943.5166210017676,323.49
06-0000012975,스타벅스 마곡역점,950.106985894794,224.36
06-0000041699,스타벅스 마곡역점,951.0894278562336,224.36
06-0000024369,스타벅스 마곡GMG점,952.1988235629365,217.35
06-0000013345,스타벅스 김포공항DT점,953.680200185554,450.87
06-0000015713,스타벅스 마곡GMG점,955.8605777265858,217.35
06-0000041698,스타벅스 마곡역점,957.522212491071,224.36
06-0000024368,스타벅스 마곡GMG점,958.4953494387552,217.35
06-0000038068,스타벅스 김포공항DT점,958.9518053606973,450.87
06-0000045431,스타벅스 김포공항DT점,968.115954009312,450.87
06-0000024363,스타벅스 마곡GMG점,968.3730627640375,217.35
06-0000045476,스타벅스 김포공항DT점,968.4575539045704,450.87
06-0000013797,스타벅스 김포공항DT점,970.0599353305523,450.87
06-0000003145,스타벅스 김포공항DT점,971.9149056318151,450.87
06-0000041700,스타벅스 마곡역점,972.8254933582732,224.36
06-0000036764,스타벅스 김포공항DT점,973.5973009056972,450.87
06-0000027789,스타벅스 마곡역점,976.7001294670108,224.36
06-0000036765,스타벅스 김포공항DT점,978.0408882107562,450.87
06-0000036757,스타벅스 김포공항DT점,978.7653143405506,450.87
06-0000013344,스타벅스 김포공항DT점,980.6556670046511,450.87
06-0000038067,스타벅스 김포공항DT점,981.505281714817,450.87
06-0000046525,스타벅스 김포공항DT점,982.0150953280968,450.87
06-0000036762,스타벅스 김포공항DT점,984.2074280097701,450.87
06-0000021252,스타벅스 화곡DT점,986.0859968065491,461.28
06-0000021250,스타벅스 화곡DT점,986.786086800885,461.28
06-0000038062,스타벅스 김포공항DT점,987.4958535657496,450.87
06-0000037813,스타벅스 김포공항DT점,991.151430086271,450.87
06-0000038061,스타벅스 김포공항DT점,991.3770845218295,450.87
06-0000013102,스타벅스 마곡GMG점,991.4695367298115,217.35
06-0000037742,스타벅스 김포공항DT점,992.4311911194161,450.87
06-0000037743,스타벅스 김포공항DT점,994.198546519595,450.87
06-0000036761,스타벅스 김포공항DT점,994.4132526191372,450.87
06-0000038063,스타벅스 김포공항DT점,995.5676556376382,450.87
06-0000028783,스타벅스 우장산역점,995.6967713811669,244.4
06-0000029139,스타벅스 김포공항DT점,996.4754232475193,450.87
06-0000036756,스타벅스 김포공항DT점,996.6136860488123,450.87
06-0000037769,스타벅스 김포공항DT점,998.1401495228182,450.87
06-0000037741,스타벅스 김포공항DT점,998.7731603643343,450.87
06-0000013343,스타벅스 김포공항DT점,999.533590279233,450.87
06-0000013798,스타벅스 김포공항DT점,1000.1284751842825,450.87
06-0000024371,스타벅스 마곡GMG점,1000.1495526678588,217.35
06-0000034372,스타벅스 화곡DT점,1000.5523031840851,461.28
06-0000002690,스타벅스커피 염창역점,1002.0912542732485,221.3
06-0000038066,스타벅스 김포공항DT점,1002.1934169748071,450.87
06-0000037812,스타벅스 김포공항DT점,1003.5236916651322,450.87
06-0000038064,스타벅스 김포공항DT점,1005.979046810037,450.87
06-0000038065,스타벅스 김포공항DT점,1006.8156594089548,450.87
06-0000036754,스타벅스 김포공항DT점,1009.489591486161,450.87
06-0000028788,스타벅스 우장산역점,1009.8166043805577,244.4
06-0000012973,스타벅스 방화DT,1010.4624573852954,373.97
06-0000036763,스타벅스 김포공항DT점,1010.6843996227726,450.87
06-0000013342,스타벅스 김포공항DT점,1012.7193862109738,450.87
06-0000024370,스타벅스 마곡GMG점,1013.128722128021,217.35
06-0000038060,스타벅스 김포공항DT점,1013.2959089763709,450.87
06-0000028787,스타벅스 우장산역점,1014.5597319563144,244.4
06-0000038111,스타벅스 김포공항DT점,1015.2211878350998,450.87
06-0000036755,스타벅스 김포공항DT점,1015.9243477631628,450.87
06-0000028816,스타벅스 마곡GMG점,1016.2464238802114,217.35
