crosswalk_id,acca_count
06-0000013960,2
06-0000013965,2
06-0000014101,1
06-0000014160,47
06-0000014161,47
06-0000014162,47
06-0000014163,15
06-0000014164,2
06-0000014165,2
06-0000014167,9
06-0000014168,10
06-0000014169,8
06-0000014170,14
06-0000014171,13
06-0000014172,4
06-0000014173,2
06-0000014494,2
06-0000014495,2
06-0000014496,2
06-0000014497,2
06-0000014498,2
06-0000014500,4
06-0000014501,47
06-0000014502,47
06-0000014503,47
06-0000014504,47
06-0000014505,47
06-0000014507,47
06-0000014511,93
06-0000014512,93
06-0000015648,1
06-0000015670,10
06-0000015674,2
06-0000015685,1
06-0000015691,7
06-0000015715,2
06-0000015716,2
06-0000015721,16
06-0000015722,14
06-0000015728,1
06-0000015730,1
06-0000015731,2
06-0000015732,6
06-0000015734,3
06-0000015741,2
06-0000015751,1
06-0000015760,8
06-0000015774,2
06-0000015775,93
06-0000018477,12
06-0000018738,1
06-0000019028,1
06-0000019294,3
06-0000019351,3
06-0000019572,1
06-0000019591,5
06-0000019593,10
06-0000019673,13
06-0000019846,2
06-0000019859,3
06-0000019861,2
06-0000019862,2
06-0000019863,6
06-0000019865,1
06-0000019866,1
06-0000019867,1
06-0000020419,13
06-0000020800,2
06-0000020831,2
06-0000021797,2
06-0000021798,4
06-0000021799,4
06-0000021801,4
06-0000021802,1
06-0000022106,1
06-0000022243,5
06-0000022246,2
06-0000022635,2
06-0000022965,1
06-0000022979,2
06-0000022980,1
06-0000023069,4
06-0000023176,3
06-0000023334,4
06-0000023417,1
06-0000024251,2
06-0000024253,1
06-0000024254,1
06-0000024273,1
06-0000024406,13
06-0000024407,13
06-0000024408,12
06-0000024409,12
06-0000024410,10
06-0000024412,17
06-0000024413,25
06-0000024420,17
06-0000024424,21
06-0000024543,17
06-0000024547,16
06-0000024548,10
06-0000024553,1
06-0000024554,1
06-0000024555,1
06-0000024557,1
06-0000024633,1
06-0000024634,8
06-0000024635,8
06-0000024636,13
06-0000024637,13
06-0000024638,6
06-0000024639,11
06-0000024640,17
06-0000024641,27
06-0000024642,25
06-0000024648,17
06-0000024774,15
06-0000024775,15
06-0000024776,15
06-0000024777,11
06-0000024778,11
06-0000024779,11
06-0000024780,11
06-0000024781,11
06-0000025095,5
06-0000025485,20
06-0000025490,17
06-0000025491,17
06-0000025495,1
06-0000025500,4
06-0000025501,5
06-0000025502,5
06-0000025503,5
06-0000025504,5
06-0000025505,12
06-0000025506,11
06-0000025507,23
06-0000025531,1
06-0000025603,1
06-0000025616,3
06-0000025617,8
06-0000025618,8
06-0000025945,1
06-0000025949,6
06-0000025950,6
06-0000025951,4
06-0000025952,1
06-0000025953,4
06-0000025954,4
06-0000025957,1
06-0000026104,3
06-0000026149,1
06-0000026599,2
06-0000026600,2
06-0000026601,2
06-0000026683,2
06-0000026684,2
06-0000026685,1
06-0000026758,4
06-0000026759,1
06-0000026760,1
06-0000026761,1
06-0000026765,1
06-0000027003,2
06-0000027247,10
06-0000027362,27
06-0000027388,1
06-0000027389,1
06-0000027390,1
06-0000027394,1
06-0000027395,1
06-0000027398,14
06-0000027404,4
06-0000027408,7
06-0000027409,7
06-0000027410,8
06-0000027411,8
06-0000027412,18
06-0000027413,18
06-0000027414,15
06-0000027415,6
06-0000027416,6
06-0000027417,8
06-0000027420,15
06-0000027424,1
06-0000027426,19
06-0000027427,11
06-0000027431,2
06-0000027434,2
06-0000027435,2
06-0000027438,9
06-0000027441,2
06-0000027442,17
06-0000027443,17
06-0000027444,12
06-0000027445,12
06-0000027446,11
06-0000027447,2
06-0000027448,6
06-0000027449,13
06-0000027453,13
06-0000027454,11
06-0000027455,8
06-0000027770,2
06-0000027774,4
06-0000027775,7
06-0000027778,9
06-0000027780,5
06-0000027781,5
06-0000027793,1
06-0000027797,2
06-0000027798,2
06-0000027799,2
06-0000027800,2
06-0000027807,2
06-0000027808,2
06-0000027810,2
06-0000027814,2
06-0000027815,3
06-0000027816,7
06-0000027817,7
06-0000027818,7
06-0000027819,9
06-0000027820,12
06-0000027821,5
06-0000027822,4
06-0000027823,2
06-0000027826,4
06-0000027827,5
06-0000027829,5
06-0000027830,5
06-0000027832,5
06-0000027833,5
06-0000027834,1
06-0000027836,3
06-0000027840,1
06-0000027846,4
06-0000027848,5
06-0000027849,4
06-0000028063,15
06-0000028064,15
06-0000028065,15
06-0000028066,14
06-0000028067,14
06-0000028068,14
06-0000028069,14
06-0000028073,2
06-0000028074,1
06-0000028075,1
06-0000028076,1
06-0000028078,1
06-0000028079,5
06-0000028080,2
06-0000028081,13
06-0000028083,4
06-0000028084,2
06-0000028085,2
06-0000028086,7
06-0000028087,8
06-0000028088,8
06-0000028089,8
06-0000028090,7
06-0000028091,7
06-0000028092,7
06-0000028093,7
06-0000028095,1
06-0000028096,1
06-0000028097,1
06-0000028098,1
06-0000028099,1
06-0000028100,1
06-0000028101,1
06-0000028102,2
06-0000028511,14
06-0000028535,6
06-0000028536,11
06-0000028537,10
06-0000028538,10
06-0000028741,108
06-0000028742,107
06-0000028750,21
06-0000028759,6
06-0000028760,8
06-0000028761,8
06-0000028762,9
06-0000028763,8
06-0000028764,1
06-0000028765,1
06-0000028766,1
06-0000028767,23
06-0000028768,23
06-0000028769,29
06-0000028770,27
06-0000028772,1
06-0000028773,1
06-0000028774,1
06-0000028775,1
06-0000028789,33
06-0000028790,20
06-0000028794,33
06-0000028796,34
06-0000028797,41
06-0000028798,54
06-0000028800,2
06-0000028802,2
06-0000028809,2
06-0000028810,2
06-0000028816,3
06-0000028817,2
06-0000028846,1
06-0000028847,1
06-0000028848,2
06-0000028878,2
06-0000028881,1
06-0000028955,1
06-0000028956,1
06-0000029016,1
06-0000029142,1
06-0000029187,5
06-0000029353,4
06-0000029360,10
06-0000029537,1
06-0000029733,42
06-0000029734,39
06-0000029739,3
06-0000030015,15
06-0000030273,1
06-0000030278,1
06-0000030284,3
06-0000030290,1
06-0000030291,4
06-0000030342,2
06-0000030343,2
06-0000030344,2
06-0000030483,2
06-0000030496,2
06-0000030619,1
06-0000030690,17
06-0000030691,17
06-0000030692,11
06-0000030693,11
06-0000030696,1
06-0000030697,1
06-0000030698,6
06-0000030699,19
06-0000030700,19
06-0000030701,19
06-0000030702,6
06-0000030703,6
06-0000030704,3
06-0000030705,3
06-0000030979,8
06-0000030980,6
06-0000030981,5
06-0000031269,108
06-0000031465,9
06-0000031466,11
06-0000031747,5
06-0000031748,1
06-0000031749,1
06-0000032126,21
06-0000032127,4
06-0000032128,4
06-0000032129,1
06-0000032130,4
06-0000032155,1
06-0000032156,14
06-0000033648,23
06-0000033801,6
06-0000033802,2
06-0000033803,2
06-0000033808,2
06-0000033809,1
06-0000033810,4
06-0000033811,1
06-0000033814,1
06-0000033815,1
06-0000033816,4
06-0000033817,17
06-0000033818,9
06-0000033819,1
06-0000033820,17
06-0000033821,23
06-0000033822,20
06-0000033823,14
06-0000033824,10
06-0000033825,7
06-0000033826,6
06-0000033827,4
06-0000033828,4
06-0000033829,2
06-0000034362,5
06-0000034375,11
06-0000034376,3
06-0000034377,10
06-0000034378,1
06-0000034379,7
06-0000034380,7
06-0000034381,5
06-0000034382,5
06-0000034723,23
06-0000035041,1
06-0000035127,2
06-0000035128,2
06-0000035129,6
06-0000035202,47
06-0000035203,47
06-0000035385,25
06-0000035386,31
06-0000035468,2
06-0000035545,2
06-0000035547,1
06-0000035563,5
06-0000035674,3
06-0000035675,3
06-0000035676,2
06-0000035677,1
06-0000035678,2
06-0000035739,11
06-0000036540,1
06-0000036541,1
06-0000036542,1
06-0000036836,4
06-0000036837,4
06-0000036909,2
06-0000036910,5
06-0000036918,4
06-0000036919,4
06-0000036920,4
06-0000036921,4
06-0000036922,2
06-0000036923,2
06-0000036924,2
06-0000036925,2
06-0000037213,2
06-0000037214,2
06-0000037215,2
06-0000037216,2
06-0000037217,2
06-0000037223,8
06-0000037225,4
06-0000037226,4
06-0000037227,4
06-0000037228,6
06-0000037229,5
06-0000037230,6
06-0000037231,6
06-0000037232,6
06-0000037233,8
06-0000037234,6
06-0000037235,8
06-0000037236,5
06-0000037237,5
06-0000037238,5
06-0000037239,1
06-0000037704,3
06-0000037705,3
06-0000037713,1
06-0000037727,1
06-0000037730,1
06-0000037731,15
06-0000037734,2
06-0000037736,3
06-0000037740,2
06-0000037750,1
06-0000037751,1
06-0000037752,1
06-0000037753,1
06-0000037756,2
06-0000037757,1
06-0000037758,1
06-0000037773,107
06-0000037774,108
06-0000037835,13
06-0000037836,13
06-0000037837,11
06-0000037839,1
06-0000037849,8
06-0000038059,1
06-0000038060,1
06-0000038061,2
06-0000038062,1
06-0000038063,1
06-0000038064,1
06-0000038065,1
06-0000038066,1
06-0000038345,1
06-0000038360,4
06-0000038361,4
06-0000038456,2
06-0000038496,5
06-0000038499,5
06-0000038500,14
06-0000038598,6
06-0000038599,6
06-0000038600,6
06-0000038810,1
06-0000038811,1
06-0000038820,3
06-0000038821,12
06-0000038822,13
06-0000038967,7
06-0000038971,1
06-0000038972,1
06-0000038973,1
06-0000038976,2
06-0000038977,2
06-0000038978,2
06-0000039032,1
06-0000039043,108
06-0000039044,108
06-0000039067,2
06-0000039068,1
06-0000039075,13
06-0000039193,3
06-0000039222,2
06-0000039268,4
06-0000039302,1
06-0000039370,27
06-0000039371,25
06-0000039374,9
06-0000039692,2
06-0000039693,2
06-0000039748,4
06-0000039749,4
06-0000039750,4
06-0000039752,4
06-0000039753,5
06-0000039754,5
06-0000039762,17
06-0000039992,2
06-0000040053,2
06-0000040095,4
06-0000040238,3
06-0000040311,6
06-0000041098,1
06-0000041120,4
06-0000041168,12
06-0000041169,12
06-0000041214,1
06-0000041365,108
06-0000041366,107
06-0000041368,108
06-0000041369,107
06-0000041530,2
06-0000041531,2
06-0000041568,3
06-0000041569,3
06-0000041605,18
06-0000041606,4
06-0000041607,2
06-0000041704,5
06-0000041875,1
06-0000041878,1
06-0000041879,2
06-0000041927,1
06-0000044383,12
06-0000044803,2
06-0000044804,2
06-0000044805,2
06-0000044814,38
06-0000045076,12
06-0000045224,4
06-0000045225,5
06-0000045316,1
06-0000045377,2
06-0000045420,1
06-0000045421,1
06-0000045427,1
06-0000045428,2
06-0000045429,4
06-0000045430,4
06-0000045655,12
06-0000045656,12
06-0000045657,12
06-0000045658,12
06-0000045659,12
06-0000045660,12
06-0000045667,1
06-0000045668,1
06-0000045670,1
06-0000045682,38
06-0000045683,38
06-0000045684,39
06-0000045685,39
06-0000045686,2
06-0000045687,2
06-0000045698,8
06-0000045699,8
06-0000045700,8
06-0000045701,8
06-0000045713,1
06-0000045716,1
06-0000045717,2
06-0000045718,2
06-0000045727,1
06-0000045796,108
06-0000045797,15
06-0000045798,15
06-0000045799,15
06-0000045802,15
06-0000045803,15
06-0000045804,12
06-0000045829,1
06-0000045830,1
06-0000045837,2
06-0000045838,5
06-0000045839,2
06-0000045840,2
06-0000045841,2
06-0000046620,17
06-0000046649,1
06-0000046650,5
06-0000046659,3
06-0000046871,1
06-0000046873,1
06-0000046874,1
06-0000047268,1
06-0000047269,1
06-0000047270,3
06-0000047272,1
06-0000047273,3
06-0000047274,1
06-0000047448,1
06-0000047930,4
06-0000048346,1
06-0000048352,2
06-0000048353,1
06-0000048500,14
06-0000048501,14
06-0000048564,12
06-0000048565,15
06-0000048566,17
06-0000048567,6
06-0000048568,14
06-0000048580,4
06-0000048584,1
06-0000048608,7
06-0000048609,7
06-0000049098,2
06-0000049099,1
06-0000049100,2
06-0000049101,1
06-0000049102,2
06-0000049105,1
06-0000049303,3
06-0000049329,1
06-0000049656,1
06-0000049657,2
06-0000049666,1
06-0000049671,4
06-0000049672,4
06-0000049673,4
06-0000049675,5
06-0000049689,9
06-0000049977,5
06-0000049978,16
06-0000050013,6
06-0000050017,1
06-0000050022,5
06-0000050026,6
06-0000050027,1
06-0000050029,1
06-0000050030,1
06-0000050031,3
06-0000050351,2
06-0000050352,2
06-0000050355,2
06-0000050356,2
06-0000050357,1
06-0000050358,2
06-0000050666,2
06-0000050667,2
06-0000050671,54
06-0000050672,34
06-0000050673,55
06-0000050675,2
06-0000050676,2
06-0000050730,4
06-0000050731,6
06-0000050944,4
06-0000050946,10
06-0000050947,11
06-0000050948,1
06-0000050949,12
06-0000050950,5
06-0000050951,5
06-0000051053,1
06-0000051054,1
06-0000051356,5
06-0000051379,1
06-0000051452,3
06-0000051453,1
06-0000051455,3
06-0000051466,6
06-0000051467,5
06-0000051468,17
06-0000051661,1
06-0000051819,5
06-0000051949,7
06-0000052144,8
06-0000052145,1
06-0000052149,15
06-0000052150,15
06-0000052452,5
06-0000052454,9
06-0000052682,2
06-0000052683,2
06-0000052684,2
06-0000052685,1
06-0000052708,2
06-0000052709,2
06-0000052710,1
06-0000052715,3
06-0000052716,3
06-0000052769,9
06-0000052770,12
06-0000052771,9
06-0000052819,2
06-0000052821,9
06-0000052827,1
06-0000052828,1
06-0000052829,3
