crosswalk_id,acca_count
06-0000037232,4
06-0000037233,3
06-0000037234,3
06-0000037235,3
06-0000037236,1
06-0000037237,1
06-0000037238,4
06-0000037704,2
06-0000037705,3
06-0000037713,1
06-0000037730,1
06-0000037731,6
06-0000037734,1
06-0000037736,2
06-0000037740,1
06-0000037752,1
06-0000037753,1
06-0000037757,1
06-0000037758,1
06-0000037835,4
06-0000037836,5
06-0000037837,5
06-0000037849,5
06-0000038060,1
06-0000038061,1
06-0000038062,1
06-0000038063,1
06-0000038064,1
06-0000038496,3
06-0000038499,3
06-0000038500,10
06-0000038598,2
06-0000038599,2
06-0000038600,2
06-0000038821,3
06-0000038822,8
06-0000038976,2
06-0000038977,1
06-0000039067,1
06-0000039075,4
06-0000039222,1
06-0000039268,1
06-0000039374,3
06-0000039693,1
06-0000039752,4
06-0000039762,2
06-0000040311,1
06-0000041214,1
06-0000041530,1
06-0000041568,1
06-0000041569,1
06-0000041605,7
06-0000041704,1
06-0000044383,4
06-0000045076,6
06-0000045420,1
06-0000045421,1
06-0000045658,12
06-0000045659,12
06-0000045660,12
06-0000045684,38
06-0000045685,39
06-0000045687,2
06-0000045698,5
06-0000045699,5
06-0000045700,1
06-0000045701,1
06-0000045717,1
06-0000045829,1
06-0000045837,2
06-0000045838,2
06-0000045839,2
06-0000046620,2
06-0000046659,2
06-0000047268,1
06-0000047269,1
06-0000047448,1
06-0000047930,2
06-0000048352,1
06-0000048500,1
06-0000048501,1
06-0000048566,1
06-0000048584,1
06-0000049100,1
06-0000049329,1
06-0000049657,1
06-0000049675,1
06-0000049978,6
06-0000050013,2
06-0000050017,1
06-0000050026,1
06-0000050029,1
06-0000050031,1
06-0000050351,2
06-0000050352,2
06-0000050355,1
06-0000050356,1
06-0000050666,2
06-0000050671,28
06-0000050672,17
06-0000050673,8
06-0000050675,1
06-0000050946,6
06-0000050947,6
06-0000050948,1
06-0000050949,5
06-0000050950,2
06-0000050951,2
06-0000051452,2
06-0000051453,1
06-0000051466,5
06-0000051661,1
06-0000051819,1
06-0000052144,1
06-0000052682,1
06-0000052683,1
06-0000052684,1
06-0000052685,1
06-0000052769,9
06-0000052770,9
06-0000052771,2
06-0000052821,4
